Datetime, Timestamp, Low, High, Open, Close, Vol
10/11/2017 0:00,1507680000,4720.21,4869.97,4750,4814.99,7238.878762
10/10/2017 0:00,1507593600,4701.53,4925.65,4769.55,4750,13709.64306
10/9/2017 0:00,1507507200,4561,4875.39,4603.5,4769.55,14273.82343
10/8/2017 0:00,1507420800,4420.01,4612,4425,4603.49,7158.20028
10/7/2017 0:00,1507334400,4320,4449.42,4363,4425,4178.250893
10/6/2017 0:00,1507248000,4299.99,4407,4320.02,4362.99,6441.725604
10/5/2017 0:00,1507161600,4150.01,4365.21,4214.84,4320.04,6482.327784
10/4/2017 0:00,1507075200,4175.3,4344,4307.99,4214.84,6555.270969
10/3/2017 0:00,1506988800,4240,4419.95,4392.71,4307.99,10606.10622
10/2/2017 0:00,1506902400,4354.23,4470,4394.81,4392.71,8647.527992
10/1/2017 0:00,1506816000,4256.92,4396.99,4339.01,4394.81,5366.91197
9/30/2017 0:00,1506729600,4143.52,4356.28,4156.99,4339,6235.078456
9/29/2017 0:00,1506643200,4015.17,4212.99,4189.42,4156.99,10360.83388
9/28/2017 0:00,1506556800,4122,4269.95,4200,4189.42,7897.176891
9/27/2017 0:00,1506470400,3880.36,4228.39,3885.09,4200,12072.6687
9/26/2017 0:00,1506384000,3854.29,3960,3919.98,3885.09,5893.223538
9/25/2017 0:00,1506297600,3669.01,3969.37,3669.01,3919.78,9583.737589
9/24/2017 0:00,1506211200,3630.01,3789.36,3787.33,3669.01,4692.790902
9/23/2017 0:00,1506124800,3580,3818.89,3619.01,3787.33,6595.935307
9/22/2017 0:00,1506038400,3509.79,3767.77,3617.47,3619.01,12648.8213
9/21/2017 0:00,1505952000,3571,3903.57,3872.07,3617.47,14978.48543
9/20/2017 0:00,1505865600,3850.01,4044,3910.11,3872.06,9910.401114
9/19/2017 0:00,1505779200,3850.44,4125.22,4100,3910.11,13781.15539
9/18/2017 0:00,1505692800,3717.56,4130,3719.98,4100,16906.72339
9/17/2017 0:00,1505606400,3475.64,3841,3726.51,3719.97,11718.8802
9/16/2017 0:00,1505520000,3600,4042.98,3740.02,3726.51,19031.67597
9/15/2017 0:00,1505433600,2975.01,3894.48,3249.99,3740.02,54488.48242
9/14/2017 0:00,1505347200,3230.05,3923,3855.61,3250.4,36338.02725
9/13/2017 0:00,1505260800,3726,4174.53,4164.52,3855.32,22842.53226
9/12/2017 0:00,1505174400,4080,4375.37,4210.72,4164.52,12373.39858
